ID;birthcountry;age;colorblind;gender;experience;maptype;place1;place2;place3;place4;place5;place6;place7;place8;place9;place10;place11;place12;place13;place14;place15;place16;place17;place18;place19
384;Germany;52;No;Male;Yes;b;street 1;street 2;street 3;street 4;street 5;street 6;street 7;street 8;xavier hotel;roscovina art museum;randalia tower;embers;dolby park;;;;;;
386;Sweden;29;No;I'd rather not say;No;b;hotell superior;civic ??? theatre;???? green;;;;;;;;;;;;;;;;
387;United States;39;No;Female;Yes;s;roscovina bank;agnes theatre;hospital;restaurant;healthcare;university;landmark;;;;;;;;;;;;
390;Germany;39;No;Male;No;s;;;;;;;;;;;;;;;;;;;
391;France;42;No;Male;No;s;;;;;;;;;;;;;;;;;;;
392;United Kingdom;45;No;Diverse;No;b;ingersoll avenue;streets 1 - 8;empire street;theatre;university;hotel;library;park;restaurants (many around ingersoll and empire);;;;;;;;;;
393;Germany;24;No;Male;No;b;hotel superior;roscovina art museum;lucy park;bank central;st. james cathedral;st. nicholas cathedral;roscovina gallery;;;;;;;;;;;;
394;Austria;31;No;Male;No;s;bank of roscovina;national theater;;;;;;;;;;;;;;;;;
396;United States;60;No;Male;No;b;randalia monument;st michael's cathedral;empire hotel;the mill;agnes theatre;a tower;;;;;;;;;;;;;
397;United States;70;No;Female;No;s;randalia monument;agnes theatre;bank of roscovina;harbor green;folk avenue;hydra avenue;dorsey avenue;harborside boulevard;empire boulevard;street 1;street 3;street 4;street 5;street 6;street 7;street 8;embers (restaurant);randalia tower;medical center
398;United States;24;No;Female;No;b;metropolitan medical center;roscovinia library;tolby park;;;;;;;;;;;;;;;;
400;Other / I'd rather not say;70;No;Female;No;s;;;;;;;;;;;;;;;;;;;
401;Canada;35;No;Diverse;No;b;roscovina bank;lucy park;;;;;;;;;;;;;;;;;
403;South Africa;42;No;Male;Yes;s;dolby park;;;;;;;;;;;;;;;;;;
404;Germany;40;No;Male;No;b;randalia monument;;;;;;;;;;;;;;;;;;
405;United States;38;No;Male;No;b;;;;;;;;;;;;;;;;;;;
411;United States;69;Yes;Male;No;s;roscovina tower;roscovina bank;;;;;;;;;;;;;;;;;
